Date,Open,High,Low,Close,Adj Close,Volume
2010-07-05,36.698570,37.128571,36.451427,37.088570,24.730774,108330600
2010-07-12,36.932858,37.407143,35.204285,35.700001,23.804865,1107643600
2010-07-19,35.697144,37.878571,34.228573,37.134285,24.761251,1115951900
2010-07-26,37.142857,37.998573,36.414288,36.750000,24.505011,654331300
2010-08-02,37.205715,37.754284,36.804287,37.155716,24.775541,500019800
2010-08-09,37.354286,37.450001,35.160000,35.585712,23.728659,566223000
2010-08-16,35.368572,36.381428,35.231430,35.662857,23.780104,472925600
2010-08-23,35.970001,36.000000,33.651428,34.517143,23.016130,657092800
2010-08-30,34.394287,36.968571,34.335712,36.967144,24.649805,609332500
2010-09-06,36.662857,38.074287,36.607143,37.630001,25.091801,423806600
2010-09-13,37.974285,39.708572,37.931427,39.338570,26.231073,628219900
2010-09-20,39.439999,41.932858,39.407143,41.759998,27.845692,836911600
2010-09-27,41.997143,42.104286,39.285713,40.360001,26.912174,777263900
2010-10-04,40.228573,42.071430,39.681427,42.009998,28.012390,668735200
2010-10-11,42.105713,45.000000,41.784286,44.962856,29.981359,743470000
2010-10-18,45.495716,45.571430,42.860001,43.924286,29.288843,992914300
2010-10-25,44.155716,44.514286,42.981430,42.997143,28.670630,541489200
2010-11-01,43.174286,45.740002,43.171429,45.304287,30.209036,592477200
2010-11-08,45.314285,45.900002,43.375713,44.004284,29.342199,551665100
2010-11-15,44.065716,44.362858,42.537144,43.818573,29.218351,605010000
2010-11-22,43.811428,45.385715,43.695713,45.000000,30.006138,390958400
2010-11-29,45.071430,45.571430,44.410000,45.348572,30.238558,553581000
2010-12-06,45.520000,46.284286,45.301430,45.794285,30.535765,429633400
2010-12-13,46.338570,46.437141,45.571430,45.801430,30.540527,479273900
2010-12-20,45.942856,46.531429,45.461430,46.228573,30.825357,282760800
2010-12-27,46.121429,46.665714,45.901428,46.080002,30.726294,234970400
2011-01-03,46.520000,48.049999,46.405716,48.017143,32.017971,405524700
2011-01-10,48.404285,49.782856,48.167141,49.782856,33.195358,450219700
2011-01-17,47.074287,49.799999,46.571430,46.674286,31.122555,1133950300
2011-01-24,46.695713,49.371429,46.674286,48.014286,32.016071,626377500
2011-01-31,47.971428,49.528572,47.757141,49.500000,33.006752,444618300
2011-02-07,49.698570,51.428570,49.662857,50.978573,33.992664,661232600
2011-02-14,50.970001,52.128571,49.931427,50.080002,33.393494,605597300
2011-02-21,48.878571,49.775715,48.245716,49.737144,33.164890,606082400
2011-02-28,50.177143,51.470001,49.668571,51.428570,34.292721,603964200
2011-03-07,51.628571,51.667141,49.271427,50.284286,33.529716,583591400
2011-03-14,50.454285,50.925713,46.608570,47.238571,31.498819,932921500
2011-03-21,47.998573,50.294285,47.894287,50.220001,33.486847,490485800
2011-03-28,50.450001,50.617142,49.042858,49.222858,32.821949,421085700
2011-04-04,49.187141,49.228573,47.707142,47.865715,31.917002,524084400
2011-04-11,47.722858,48.020000,46.685715,46.779999,31.193041,481553100
2011-04-18,46.585712,50.732857,45.737144,50.099998,33.406834,620938500
2011-04-25,50.048573,50.712856,49.360001,50.018570,33.352528,582215900
2011-05-02,49.962856,50.261429,49.357143,49.522858,33.021980,440353900
2011-05-09,49.694286,50.000000,48.621429,48.642857,32.435215,367738700
2011-05-16,48.457142,48.915714,47.247143,47.888573,31.932243,459006100
2011-05-23,47.138573,48.365715,47.060001,48.201427,32.140858,356477800
2011-05-30,48.728573,50.304287,48.714287,49.062859,32.715263,406117600
2011-06-06,49.385715,49.578571,46.501427,46.557144,31.044445,508623500
2011-06-13,46.742859,47.607143,45.475716,45.751427,30.507185,547212400
2011-06-20,45.337143,47.592857,44.357143,46.621429,31.087305,631044400
2011-06-27,46.798573,49.071430,46.750000,49.037144,32.698116,436231600
2011-07-04,49.000000,51.428570,48.928570,51.387142,34.265106,422244200
2011-07-11,50.905716,52.142857,49.802856,52.131428,34.761387,550230800
2011-07-18,52.204285,56.610001,52.182858,56.185715,37.464806,844100600
2011-07-25,55.764286,57.785713,54.857143,55.782856,37.196175,738082800
2011-08-01,56.825714,57.071430,51.795715,53.374287,35.590130,1015220500
2011-08-08,51.669998,54.234287,50.431427,53.855713,35.911144,1094004800
2011-08-15,54.232857,54.995716,50.857143,50.861427,33.914555,757169700
2011-08-22,52.072857,54.828571,50.727142,54.797142,36.538898,832810300
2011-08-29,55.454285,56.011429,53.118572,53.435715,35.631092,532110600
2011-09-05,52.481430,55.515713,52.354286,53.925713,35.957825,460311600
2011-09-12,53.285713,57.214287,53.128571,57.214287,38.150658,639862300
2011-09-19,56.714287,60.408573,56.457142,57.757141,38.512638,930087200
2011-09-26,57.122856,58.464287,54.454285,54.474285,36.323627,768434800
